registration_id,condition,image_stem,image_filename,native_width,native_height,x,y,registration_method,registration_confidence
A01,after,PT_02,PT_02.JPG,8192,6144,4755,3401,manual_field_count_constrained_registration,high
A02,after,PT_02,PT_02.JPG,8192,6144,4363,3171,manual_field_count_constrained_registration,high
A03,after,PT_02,PT_02.JPG,8192,6144,4288,3151,manual_field_count_constrained_registration,medium
A04,after,PT_02,PT_02.JPG,8192,6144,3451,2681,manual_field_count_constrained_registration,high
A05,after,PT_02,PT_02.JPG,8192,6144,3326,2616,manual_field_count_constrained_registration,low
A06,after,PT_02,PT_02.JPG,8192,6144,3303,2609,manual_field_count_constrained_registration,low
A07,after,PT_02,PT_02.JPG,8192,6144,3278,2601,manual_field_count_constrained_registration,low
A08,after,PT_02,PT_02.JPG,8192,6144,3168,2551,manual_field_count_constrained_registration,medium
A09,after,PT_02,PT_02.JPG,8192,6144,2983,2514,manual_field_count_constrained_registration,medium
A10,after,PT_02,PT_02.JPG,8192,6144,3086,2526,manual_field_count_constrained_registration,high
A11,after,PT_02,PT_02.JPG,8192,6144,2911,2491,manual_field_count_constrained_registration,low
A12,after,PT_02,PT_02.JPG,8192,6144,2863,2481,manual_field_count_constrained_registration,low
A13,after,PT_02,PT_02.JPG,8192,6144,2813,2456,manual_field_count_constrained_registration,low
A14,after,PT_02,PT_02.JPG,8192,6144,2773,2439,manual_field_count_constrained_registration,low
A15,after,PT_02,PT_02.JPG,8192,6144,2711,2411,manual_field_count_constrained_registration,low
A16,after,PT_02,PT_02.JPG,8192,6144,2661,2379,manual_field_count_constrained_registration,medium
A17,after,PT_02,PT_02.JPG,8192,6144,2473,2544,manual_field_count_constrained_registration,medium
A18,after,PT_02,PT_02.JPG,8192,6144,2501,2331,manual_field_count_constrained_registration,medium
A19,after,PT_02,PT_02.JPG,8192,6144,2363,2221,manual_field_count_constrained_registration,low
A20,after,PT_02,PT_02.JPG,8192,6144,2223,2239,manual_field_count_constrained_registration,low
A21,after,PT_02,PT_02.JPG,8192,6144,2138,2206,manual_field_count_constrained_registration,low
A22,after,PT_02,PT_02.JPG,8192,6144,1966,2181,manual_field_count_constrained_registration,high
