registration_id,condition,image_stem,image_filename,native_width,native_height,x,y,registration_method,registration_confidence
A01,before,PT_02,PT_02.JPG,8192,6144,4840,3390,manual_field_count_constrained_registration,high
A02,before,PT_02,PT_02.JPG,8192,6144,4528,3055,manual_field_count_constrained_registration,high
A03,before,PT_02,PT_02.JPG,8192,6144,4367,3135,manual_field_count_constrained_registration,medium
A04,before,PT_02,PT_02.JPG,8192,6144,3436,2642,manual_field_count_constrained_registration,low
A05,before,PT_02,PT_02.JPG,8192,6144,3309,2589,manual_field_count_constrained_registration,low
A06,before,PT_02,PT_02.JPG,8192,6144,3261,2546,manual_field_count_constrained_registration,low
A07,before,PT_02,PT_02.JPG,8192,6144,3201,2536,manual_field_count_constrained_registration,low
A08,before,PT_02,PT_02.JPG,8192,6144,3121,2490,manual_field_count_constrained_registration,medium
A09,before,PT_02,PT_02.JPG,8192,6144,2890,2450,manual_field_count_constrained_registration,low
A10,before,PT_02,PT_02.JPG,8192,6144,3021,2482,manual_field_count_constrained_registration,low
A11,before,PT_02,PT_02.JPG,8192,6144,2839,2422,manual_field_count_constrained_registration,low
A12,before,PT_02,PT_02.JPG,8192,6144,2790,2396,manual_field_count_constrained_registration,low
A13,before,PT_02,PT_02.JPG,8192,6144,2749,2382,manual_field_count_constrained_registration,low
A14,before,PT_02,PT_02.JPG,8192,6144,2703,2373,manual_field_count_constrained_registration,low
A15,before,PT_02,PT_02.JPG,8192,6144,2634,2343,manual_field_count_constrained_registration,low
A16,before,PT_02,PT_02.JPG,8192,6144,2300,2296,manual_field_count_constrained_registration,low
A17,before,PT_02,PT_02.JPG,8192,6144,2374,2235,manual_field_count_constrained_registration,low
A18,before,PT_02,PT_02.JPG,8192,6144,2477,2299,manual_field_count_constrained_registration,low
A19,before,PT_02,PT_02.JPG,8192,6144,2219,2150,manual_field_count_constrained_registration,low
A20,before,PT_02,PT_02.JPG,8192,6144,2077,2219,manual_field_count_constrained_registration,medium
A21,before,PT_02,PT_02.JPG,8192,6144,2100,2122,manual_field_count_constrained_registration,low
A22,before,PT_02,PT_02.JPG,8192,6144,1923,2099,manual_field_count_constrained_registration,medium
